step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,R_xi_int_mean_abs,R_xi_int_median_abs,R_xi_int_rmse,R_xi_int_max_abs,R_xi_int_sum,R_xi_src_mean_abs,R_xi_src_median_abs,R_xi_src_rmse,R_xi_src_max_abs,R_xi_src_sum,R_xi_bnd_mean_abs,R_xi_bnd_median_abs,R_xi_bnd_rmse,R_xi_bnd_max_abs,R_xi_bnd_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,NLR,1.0,0.01509555299708154,0.046152584996889345,0.0003220729995518923,2.3460015654563904e-06,0.0,0.0,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839002498104428e-05,3.8163916471489756e-17,0.00033278346200224225,0.014347225884695725,-0.00012223253575503775,5.201929032084464e-16,3.122502256758253e-17,2.15547926295181e-15,4.9835136017861714e-14,1.45002784268004e-12,1.627170620466245e-15,7.771561172376096e-16,3.0914310386187756e-15,8.43769498715119e-15,5.6343818499726694e-15,0.00030350724821424783,3.594289469265448e-05,0.0013519328143841093,0.014347225884695725,-0.00012223253720506635,0.21846621523791998,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,NLR,1.0,0.01465164999535773,0.04825316301139537,0.0003346719895489514,2.591012162156403e-06,0.0022467771002218995,0.001037526265208963,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839133529926198e-05,3.881443777498106e-17,0.00033279174645178594,0.014347498665238323,-0.00012224225166808053,5.242366977471953e-16,3.122502256758253e-17,2.152192134775139e-15,5.330805241676728e-14,1.4165962828735967e-12,1.3287981825982342e-15,7.077671781985373e-16,2.1958721513934056e-15,5.773159728050814e-15,6.467049118441537e-15,0.0003035288735832077,3.595379146154097e-05,0.0013519664699603803,0.014347498665238323,-0.00012224225308467155,0.21847036510172732,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,NLR,1.0,0.02051708899671212,0.047896471005515195,0.00032251200173050165,1.944994437508285e-06,0.0022599378982156044,0.0010382310231566167,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8392649213132193e-05,3.8163916471489756e-17,0.0003328000556180198,0.014347772189551744,-0.00012225199571303452,4.9829864153089905e-16,2.949029909160572e-17,2.1430257753105414e-15,5.946632075648495e-14,1.42102024659513e-12,1.1206313654810174e-15,3.7470027081099033e-16,1.9024974220703036e-15,4.440892098500626e-15,8.049116928532385e-16,0.0003035505582949444,3.596472323688586e-05,0.0013520002259482056,0.014347772189551744,-0.00012225199713404556,0.21847452628152544,0,0.0,0.030714430042600847,0.0,0.030714430042600847,5.082197683525802e-21,3.0000000000000004e-05,1,1e-05
4,4e-05,NLR,1.0,0.016476630000397563,0.048161084996536374,0.00034411200613249093,1.901993528008461e-06,0.002272537091213137,0.0010384051031828482,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839396636886403e-05,3.8163916471489756e-17,0.00033280838738574645,0.014348046388422686,-0.00012226176480068714,5.143090155435437e-16,3.0357660829594124e-17,2.1907535930042416e-15,6.239106453698184e-14,1.4779435563329736e-12,9.298117831235686e-16,2.7755575615628914e-16,1.8612798779237258e-15,5.10702591327572e-15,6.328271240363392e-15,0.0003035722965094111,3.597568545610306e-05,0.001352034073754595,0.014348046388422686,-0.00012226176627862847,0.21847869772413325,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-1.6940658945086007e-21,4e-05,1,1e-05
5,5e-05,NLR,1.0,0.013811034004902467,0.045795719997840934,0.0002772020088741556,1.8300052033737302e-06,0.002284533360952043,0.001038027075651571,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839528639588765e-05,3.9898639947466563e-17,0.0003328167395383126,0.014348321189437074,-0.00012227155583439725,4.987689270172748e-16,3.122502256758253e-17,2.052984788161729e-15,5.56776846849516e-14,1.4565785116321884e-12,1.2004286453759505e-15,4.440892098500626e-16,1.9955564001073706e-15,4.884981308350689e-15,6.38378239159465e-15,0.00030359408211189727,3.598667331672321e-05,0.0013520680043743946,0.014348321189437074,-0.00012227155729097354,0.21848287832765093,0,0.0,0.05116552859418804,0.0,0.05116552859418804,-8.470329472543003e-21,4.9999999999999996e-05,1,1e-05
6,6.000000000000001e-05,NLR,1.0,0.02105527400271967,0.04807619299390353,0.0004996790084987879,2.6600027922540903e-06,0.0022958850567111333,0.0010370764894680818,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839660890744228e-05,3.729655473350135e-17,0.0003328251097595735,0.01434859651705045,-0.00012228136537578826,5.010200610744724e-16,3.0357660829594124e-17,2.062660451317129e-15,5.306866057708248e-14,1.41948288941916e-12,1.2385925618474403e-15,8.465450562766819e-16,1.7617959572185675e-15,3.552713678800501e-15,-4.135580766728708e-15,0.0003036159087185745,3.599768177868512e-05,0.0013521020083982673,0.01434859651705045,-0.0001222813667952694,0.21848706694255024,0,0.0,0.061375838406578995,0.0,0.061375838406578995,5.082197683525802e-21,6e-05,1,1e-05
7,7.000000000000001e-05,NLR,1.0,0.014619854991906323,0.04074385100102518,0.00029683898901566863,1.948996214196086e-06,0.0023065504499263124,0.0010355341201598348,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8397933500885584e-05,3.8055496254241206e-17,0.0003328334956368217,0.01434887229268944,-0.00012229118984814454,5.121555132376567e-16,3.0357660829594124e-17,2.1166098405377297e-15,4.5210363230907546e-14,1.4203350392924486e-12,2.740863092043355e-16,2.220446049250313e-16,3.5286168806578423e-16,6.661338147750939e-16,-1.1934897514720433e-15,0.0003036377696844095,3.600870556843129e-05,0.0013521360760245884,0.01434887229268944,-0.00012229119126848267,0.21849126237320618,0,0.0,0.07157224122634255,0.0,0.07157224122634255,-8.470329472543003e-21,7e-05,1,1e-05
8,8e-05,NLR,1.0,0.020995976999984123,0.0453421489946777,0.00033147599606309086,2.5579938665032387e-06,0.002316488017619542,0.0010333822340302943,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8399259758358528e-05,3.859759734048396e-17,0.0003328418946645617,0.014349148434881442,-0.00012230102560706856,5.056876969527889e-16,3.122502256758253e-17,1.9794380736583476e-15,3.806547091422807e-14,1.4397337755684889e-12,7.840950111415168e-16,4.718447854656915e-16,1.1009906025926498e-15,2.4424906541753444e-15,4.052314039881821e-15,0.0003036596581135067,3.601973918494194e-05,0.001352170197074782,0.014349148434881442,-0.0001223010270468075,0.2184954633798673,0,0.0,0.08175174620150871,0.0,0.08175174620150871,-1.6940658945086007e-21,7.999999999999999e-05,1,1e-05
9,9e-05,NLR,1.0,0.013404596000327729,0.0492049400054384,0.0003226059925509617,2.0139996195212007e-06,0.002325656754662919,0.001030604866550384,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8400587247638426e-05,3.8163916471489756e-17,0.00033285030424925127,0.014349424859414261,-0.00012231086888904772,5.102029007264303e-16,3.122502256758253e-17,2.0329146542627165e-15,3.8306163796519854e-14,1.4427258381395018e-12,5.863365348801608e-16,4.3021142204224816e-16,7.502353139163536e-16,1.5543122344752192e-15,-3.469446951953614e-15,0.00030368156687205996,3.603077690785713e-05,0.0013522043610125832,0.014349424859414261,-0.00012231087033177566,0.21849966868109716,0,0.0,0.09191121855505825,0.0,0.09191121855505825,1.1858461261560205e-20,9e-05,1,1e-05
10,0.0001,NLR,1.0,0.016866000994923525,0.044340829001157545,0.00030190400138963014,1.9669969333335757e-06,0.002334016513719187,0.0010271881123858,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8401915522975802e-05,3.881443777498106e-17,0.0003328587217150623,0.014349701479528854,-0.0001223207157652759,4.873587577829899e-16,3.0574501264091225e-17,1.9848767010134116e-15,3.647082635893639e-14,1.4324455726886723e-12,1.0651202142497596e-15,6.800116025829084e-16,1.4815147859946972e-15,3.1086244689504383e-15,-1.4155343563970746e-15,0.0003037034886040564,3.604181280782539e-05,0.0013522385569674404,0.014349701479528854,-0.00012232071719771504,0.21850387695671178,0,0.0,0.10204738110994338,0.0,0.10204738110994338,-1.5246593050577406e-20,9.999999999999999e-05,1,1e-05
