step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,R_xi_int_mean_abs,R_xi_int_median_abs,R_xi_int_rmse,R_xi_int_max_abs,R_xi_int_sum,R_xi_src_mean_abs,R_xi_src_median_abs,R_xi_src_rmse,R_xi_src_max_abs,R_xi_src_sum,R_xi_bnd_mean_abs,R_xi_bnd_median_abs,R_xi_bnd_rmse,R_xi_bnd_max_abs,R_xi_bnd_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,PINN,1.0,0.023350643998128362,0.005416378000518307,0.00030432199127972126,2.8149952413514256e-06,0.0,0.0,0.0025242899761119086,0.0025260527184056726,direct,0.0017426330014131963,0.0006602899957215413,0.0007715920073678717,0.0002465129946358502,5.80649939365685e-05,96,direct_last_layer,1.3530121909673976e-15,9.02706728811431e-16,1.929600962429938e-15,1.206825438193615e-14,-1.8707163097243795e-15,1.357741752120211e-15,9.115971866258121e-16,1.9212735127957928e-15,1.206825438193615e-14,-3.3194272525995105e-15,1.9914625504213745e-15,1.0408340855860843e-15,2.541378773127413e-15,5.551115123125783e-15,-2.609024107869118e-15,1.2796855182505354e-15,7.428953285870676e-16,2.0543949401003066e-15,1.1293266669043511e-14,1.448710942875131e-15,0.2187355920959264,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,PINN,1.0,0.011625473998719826,0.0053293279925128445,0.00028486600785981864,2.248998498544097e-06,0.0022467771002218995,0.0005581438392576584,0.0025243995126527584,0.0025244067040998343,direct,0.0015433210064657032,0.0005783340020570904,0.0007391309918602929,0.00016719099949114025,5.296699237078428e-05,96,direct_last_layer,1.355355812648078e-15,9.079108992393614e-16,1.930078343477086e-15,1.2072591190626092e-14,-2.213757877098793e-15,1.3606001778024706e-15,9.228728892196614e-16,1.9222469132679322e-15,1.2072591190626092e-14,-2.84975087147879e-15,1.8388068845354155e-15,9.43689570931383e-16,2.5484924075729705e-15,5.717648576819556e-15,-1.4988010832439613e-15,1.2740476669536108e-15,7.103692634125025e-16,2.047667725614625e-15,1.1254235390834033e-14,6.359929943799969e-16,0.21873939878697196,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,PINN,1.0,0.012847204998251982,0.005480345003888942,0.00033138200524263084,2.7280038921162486e-06,0.0022599393677488447,0.0005588390792769244,0.00252454571809932,0.0025245529270557865,direct,0.0015259600040735677,0.0005689590034307912,0.0007367919897660613,0.00016173699987120926,5.320900527294725e-05,96,direct_last_layer,1.3542702760729188e-15,9.046582927219049e-16,1.9297083236639716e-15,1.2076927999316034e-14,-2.6472219056584978e-15,1.3593237749122827e-15,9.254749744336266e-16,1.9218670621175767e-15,1.2076927999316034e-14,-2.9301986726772145e-15,1.8318679906315083e-15,9.159339953157541e-16,2.500891339982117e-15,5.551115123125783e-15,-1.7763568394002505e-15,1.2759213038329373e-15,7.272828173032764e-16,2.0474400949382574e-15,1.1269847902117824e-14,2.8297676701871666e-16,0.21874321363449156,0,0.0,0.030714430042600847,0.0,0.030714430042600847,1.6940658945086007e-21,3e-05,1,1e-05
4,4e-05,PINN,1.0,0.0138673600013135,0.005351062005502172,0.0003156949969707057,2.8670037863776088e-06,0.0022725435740576687,0.000559290610336715,0.002524728575765258,0.002524735795852831,direct,0.00151318300049752,0.0005945270095253363,0.0006798499962314963,0.00017949400353245437,5.417500506155193e-05,96,direct_last_layer,1.3569137790929525e-15,9.098624631498353e-16,1.9324774065858387e-15,1.2077795361054022e-14,-1.123917853316364e-15,1.3617991649970973e-15,9.280770596475918e-16,1.924287864925829e-15,1.2077795361054022e-14,-3.969514875221819e-15,1.942890293094024e-15,1.2212453270876722e-15,2.5018922663162287e-15,5.440092820663267e-15,-1.9984014443252818e-15,1.2811712140400194e-15,7.407269242420966e-16,2.0552766174673774e-15,1.1288062498615581e-14,2.845597021905455e-15,0.21874703487201724,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-5.082197683525802e-21,3.9999999999999996e-05,1,1e-05
5,5e-05,PINN,1.0,0.0192224369966425,0.007891724992077798,0.0007751430093776435,5.561989382840693e-06,0.0022845493454260748,0.0005594886830721929,0.0025249479842974327,0.00252495520887207,direct,0.0016003890050342306,0.0006174000009195879,0.0007562310056528077,0.00016711100761312991,5.466399306897074e-05,96,direct_last_layer,1.3577615866994512e-15,9.11380346191315e-16,1.9327452952289016e-15,1.2070856467150115e-14,-2.037032922983656e-15,1.363092285743913e-15,9.228728892196614e-16,1.925185927224548e-15,1.2070856467150115e-14,-2.4084805872771897e-15,1.880440247958859e-15,9.43689570931383e-16,2.5508717941336675e-15,5.551115123125783e-15,-2.609024107869118e-15,1.2751149284671512e-15,7.173081573164097e-16,2.0463755483414672e-15,1.1300205562947419e-14,3.714476642935338e-16,0.21875086065256286,0,0.0,0.05116552859418804,0.0,0.05116552859418804,5.082197683525802e-21,5e-05,1,1e-05
6,6.000000000000001e-05,PINN,1.0,0.016196334996493533,0.005429374999948777,0.0003363739961059764,2.5990011636167765e-06,0.002295916023434362,0.0005594239672431261,0.002525203753917881,0.002525210976089721,direct,0.001661073009017855,0.0006960820028325543,0.0007324159960262477,0.00017122099234256893,5.6837001466192305e-05,96,direct_last_layer,1.3542459232241215e-15,8.98586760555986e-16,1.9298786598158763e-15,1.2072591190626092e-14,-1.853260654747363e-15,1.3589716892030067e-15,9.13331910101789e-16,1.921708830158937e-15,1.2072591190626092e-14,-3.2555677446401143e-15,2.1371793224034263e-15,1.5543122344752192e-15,2.6001138213129273e-15,5.551115123125783e-15,-2.4424906541753444e-15,1.2809780905280455e-15,7.411606051110908e-16,2.052386457573984e-15,1.1288062498615581e-14,1.4023070898927514e-15,0.21875468905041134,0,0.0,0.061375838406578995,0.0,0.061375838406578995,-1.6940658945086007e-21,6e-05,1,1e-05
7,7.000000000000001e-05,PINN,1.0,0.01343659900885541,0.005289216001983732,0.0009530950046610087,5.018999218009412e-06,0.002306602915677941,0.0005590876382245507,0.0025254956030592154,0.002525502815716048,direct,0.0015633190050721169,0.0006050280062481761,0.000737125999876298,0.00016281699936371297,5.350900755729526e-05,96,direct_last_layer,1.3552568615574956e-15,9.072603779358701e-16,1.9310079397168295e-15,1.2082132169743964e-14,-1.8819920123182288e-15,1.360234788831466e-15,9.228728892196614e-16,1.9230565914338414e-15,1.2082132169743964e-14,-3.664637224318895e-15,1.8908485888147197e-15,9.020562075079397e-16,2.5650079102253186e-15,5.551115123125783e-15,-2.248201624865942e-15,1.2780795437825412e-15,7.32920668600201e-16,2.050343633613124e-15,1.1262041646475929e-14,1.7826452120006664e-15,0.2187585180639192,0,0.0,0.07157224122634255,0.0,0.07157224122634255,-8.470329472543003e-21,7e-05,1,1e-05
8,8e-05,PINN,1.0,0.017277702994761057,0.007678741007111967,0.0006695670017506927,3.888999344781041e-06,0.002316569575548406,0.0005584714932636395,0.0025258231554709134,0.0025258303513057737,direct,0.0014765870000701398,0.0006014040118316188,0.0006137680029496551,0.00016100599896162748,9.530699753668159e-05,96,direct_last_layer,1.3555019297408622e-15,9.08995101411847e-16,1.9322950296198727e-15,1.2086468978433906e-14,-2.660232331728324e-15,1.3601964907350733e-15,9.194034422677078e-16,1.9245132771024204e-15,1.2086468978433906e-14,-5.552233206616158e-15,1.745131816832668e-15,9.853229343548264e-16,2.4193764865102964e-15,5.551115123125783e-15,-1.970645868709653e-15,1.2827178962017058e-15,7.541710311809169e-16,2.0491653419963507e-15,1.1267245816903859e-14,2.8920008748878345e-15,0.21876234561872016,0,0.0,0.08175174620150871,0.0,0.08175174620150871,-1.6940658945086007e-21,7.999999999999999e-05,1,1e-05
9,9e-05,PINN,1.0,0.0171220549964346,0.005527628003619611,0.0003369080077391118,3.0520022846758366e-06,0.0023257761098059,0.000557568072341624,0.0025261859378760774,0.0025261931094188454,direct,0.001655121988733299,0.0006746040016878396,0.0007433190039591864,0.00017327700334135443,5.954499647486955e-05,96,direct_last_layer,1.3563507638109564e-15,9.141992718397773e-16,1.9344357884353815e-15,1.2065652296722185e-14,-2.198362206249499e-15,1.3614757345682177e-15,9.252581339991295e-16,1.926798081869835e-15,1.2065652296722185e-14,-3.2853833043834657e-15,1.863093013199091e-15,9.020562075079397e-16,2.5565845866632657e-15,5.551115123125783e-15,-2.4702462297909733e-15,1.2768936976563852e-15,7.563394355258879e-16,2.0492113296491582e-15,1.12941340307815e-14,1.0870210981339667e-15,0.21876616957218156,0,0.0,0.09191121855505825,0.0,0.09191121855505825,-1.6940658945086007e-21,8.999999999999999e-05,1,1e-05
10,0.0001,PINN,1.0,0.02023499200004153,0.006888440999318846,0.0008986769971670583,2.5679910322651267e-06,0.0023341835127246896,0.0005563707724440026,0.0025265833782580327,0.0025265905179108644,direct,0.0018893579981522635,0.0007403000054182485,0.0008967210014816374,0.00018063800234813243,6.506200588773936e-05,96,direct_last_layer,1.3575161079306466e-15,9.11163505756818e-16,1.932601726253682e-15,1.207345855236408e-14,-2.2796773691859118e-15,1.3628225600636126e-15,9.237402509576498e-16,1.925124726892479e-15,1.207345855236408e-14,-3.917906851811509e-15,1.779826286352204e-15,9.298117831235686e-16,2.3891771524255185e-15,5.440092820663267e-15,-1.582067810090848e-15,1.2752453715410283e-15,7.270659768687793e-16,2.0450299478362536e-15,1.1280256242973685e-14,1.6382294826255972e-15,0.21876998771805267,0,0.0,0.10204738110994338,0.0,0.10204738110994338,1.1858461261560205e-20,0.0001,1,1e-05
