n_substep,mode,step,time,pinn_rmse,pinn_pre_rmse,flux_s,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,R_xi_rmse,CFL,S_post_max
1,frozen,1,1e-05,0.0025260527184056726,0.0025260527184056726,0.05632002699712757,0.053225158000714146,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.01024
1,frozen,2,2e-05,0.0025261748094656086,0.0025261748094656086,0.0030680619966005906,5.8307996368967e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.020478904042811663
1,frozen,3,3.0000000000000004e-05,0.002526347966987083,0.002526347966987083,0.0030550090014003217,5.154700193088502e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.030714430042600847
1,frozen,4,4e-05,0.0025265721931459714,0.0025265721931459714,0.003886927996063605,5.992299702484161e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.04094415826701347
1,frozen,5,5e-05,0.0025268473773098405,0.0025268473773098405,0.011496690000058152,0.00011751899728551507,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.05116552859418804
1,full,1,1e-05,0.0023725514096236628,0.0025260527184056726,36.65184816499823,36.646439147996716,nan,nan,nan,nan,1.9301724922538824e-15,0.21850559302907657,0.01024
1,full,2,2e-05,0.0023180300865982897,0.0023726015428294617,29.930623070002184,29.925701965010376,nan,nan,nan,nan,1.9300803956760904e-15,0.21870152719587832,0.020478904042811663
1,full,3,3.0000000000000004e-05,0.002284850228407082,0.0023181384354777975,29.602797068000655,29.59701153099013,nan,nan,nan,nan,1.930400901782081e-15,0.21856092807993252,0.030714430042600847
1,full,4,4e-05,0.0022606514253372444,0.0022849524793067066,30.556199801998446,30.548333652011934,nan,nan,nan,nan,1.931224051635129e-15,0.21862679233903745,0.04094415826701347
1,full,5,5e-05,0.0022444139122724488,0.002260760936294162,30.313222907003365,30.30824374599615,nan,nan,nan,nan,1.9313978145657946e-15,0.21860687816495586,0.05116552859418804
1,k_last_layer,1,1e-05,0.002483011332562616,0.0025260527184056726,16.366591967991553,16.358729786996264,nan,nan,nan,nan,1.9300719630667227e-15,0.21866699334127299,0.01024
1,k_last_layer,2,2e-05,0.0024711408218827655,0.0024830993187429356,17.169700822996674,17.164733495999826,nan,nan,nan,nan,1.930384877413784e-15,0.21871713727592537,0.020478904042811663
1,k_last_layer,3,3.0000000000000004e-05,0.002471239540355088,0.002471239540355088,3.4304530509980395,3.4258588930097176,nan,nan,nan,nan,1.930384877413784e-15,0.21871713727592537,0.030714430042600847
1,k_last_layer,4,4e-05,0.002471390638824651,0.002471390638824651,3.539700893990812,3.5350622440018924,nan,nan,nan,nan,1.930384877413784e-15,0.21871713727592537,0.04094415826701347
1,k_last_layer,5,5e-05,0.0024715940605573522,0.0024715940605573522,3.6502993710018927,3.6457198739954038,nan,nan,nan,nan,1.930384877413784e-15,0.21871713727592537,0.05116552859418804
1,last_layer,1,1e-05,0.0025242899761119086,0.0025260527184056726,0.008770986009039916,0.0018478229903848842,0.0007660529954591766,0.000752337000449188,0.00022066800738684833,0.00010133400792255998,1.929600962429938e-15,0.2187355920959264,0.01024
1,last_layer,2,2e-05,0.0025243995126527584,0.0025244067040998343,0.019995775001007132,0.005545007006730884,0.0012545630015665665,0.003914611996151507,0.00023032999888528138,0.0001279639982385561,1.930078343477086e-15,0.21873939878697196,0.020478904042811663
1,last_layer,3,3.0000000000000004e-05,0.00252454571809932,0.0025245529270557865,0.017451250008889474,0.002139143005479127,0.0006823770090704784,0.0011149269994348288,0.00023560199770145118,9.947500075213611e-05,1.9297083236639716e-15,0.21874321363449156,0.030714430042600847
1,last_layer,4,4e-05,0.002524728575765258,0.002524735795852831,0.010402550993603654,0.0020878649957012385,0.0007818559970473871,0.0010018559987656772,0.00021324300905689597,8.484299178235233e-05,1.9324774065858387e-15,0.21874703487201724,0.04094415826701347
1,last_layer,5,5e-05,0.0025249479842974327,0.00252495520887207,0.009666202997323126,0.0018404290021862835,0.000730639003450051,0.0008303900103783235,0.00020093699276912957,7.328300853259861e-05,1.9327452952289016e-15,0.21875086065256286,0.05116552859418804
1000,frozen,1,0.01,0.0025260527184056726,0.0025260527184056726,0.07363672400242649,0.06772856799943838,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.9323870941958035
1000,frozen,2,0.02,0.003015434050468477,0.003015434050468477,0.003244280000217259,6.832499639131129e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.9617072978418083
1000,frozen,3,0.03,0.003069574077778396,0.003069574077778396,0.003786529996432364,6.644599488936365e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.9729981166707645
1000,frozen,4,0.04,0.0031815331978537636,0.0031815331978537636,0.0073141729953931645,7.629800529684871e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.9790682263557104
1000,frozen,5,0.05,0.003251748244244446,0.003251748244244446,0.004673468007240444,6.909298826940358e-05,nan,nan,nan,nan,1.930691638852305e-15,0.21874546708066825,0.9828798668728007
1000,full,1,0.01,0.0023725514096236628,0.0025260527184056726,30.26425559799827,30.253839757991955,nan,nan,nan,nan,1.9301724922538824e-15,0.21850559302907657,0.9323870941958036
1000,full,2,0.02,0.002359110649029272,0.0028673780944131104,29.928723809003714,29.92353685099806,nan,nan,nan,nan,1.930119348639314e-15,0.21955836666717057,0.9617072978418084
1000,full,3,0.03,0.0023373209674701673,0.0027105814662533173,30.952237256002263,30.94772914799978,nan,nan,nan,nan,1.9314372896027247e-15,0.21954664717073155,0.9729981166707651
