step,time,method,M,solve_s,flux_s,transport_s,viz_s,p_l2_drift,flux_l2_drift,pinn_rmse,pinn_pre_rmse,pinn_iterations,pinn_wall_s,pinn_pre_eval_s,pinn_linear_s,pinn_sync_s,pinn_error_s,pinn_trainable_params,pinn_stop_reason,R_xi_mean_abs,R_xi_median_abs,R_xi_rmse,R_xi_max_abs,R_xi_sum,CFL,cfl_violated,S_preclip_min,S_preclip_max,S_post_min,S_post_max,mass_balance,stored_water,n_substeps,dt_substep
1,1e-05,NLR,1.0,0.02228725999884773,0.04808038599730935,0.0008373509917873889,2.9289949452504516e-06,0.0,0.0,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839002498104428e-05,3.8163916471489756e-17,0.00033278346200224225,0.014347225884695725,-0.00012223253575503775,0.21846621523791998,0,0.0,0.01024,0.0,0.01024,0.0,1e-05,1,1e-05
2,2e-05,NLR,1.0,0.016952862002654,0.04609601300035138,0.00030387999140657485,2.5659974198788404e-06,0.0022467771002218995,0.001037526265208963,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839133529926198e-05,3.881443777498106e-17,0.00033279174645178594,0.014347498665238323,-0.00012224225166808053,0.21847036510172732,0,0.0,0.020478904042811663,0.0,0.020478904042811663,-3.3881317890172014e-21,1.9999999999999998e-05,1,1e-05
3,3.0000000000000004e-05,NLR,1.0,0.017340439997497015,0.041557353993994184,0.0004696480027632788,2.291999408043921e-06,0.0022599378982156044,0.0010382310231566167,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8392649213132193e-05,3.8163916471489756e-17,0.0003328000556180198,0.014347772189551744,-0.00012225199571303452,0.21847452628152544,0,0.0,0.030714430042600847,0.0,0.030714430042600847,5.082197683525802e-21,3.0000000000000004e-05,1,1e-05
4,4e-05,NLR,1.0,0.016014036009437405,0.05199821000860538,0.00035978699452243745,2.262007910758257e-06,0.002272537091213137,0.0010384051031828482,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839396636886403e-05,3.8163916471489756e-17,0.00033280838738574645,0.014348046388422686,-0.00012226176480068714,0.21847869772413325,0,0.0,0.04094415826701347,0.0,0.04094415826701347,-1.6940658945086007e-21,4e-05,1,1e-05
5,5e-05,NLR,1.0,0.016221311001572758,0.043913205998251215,0.000766437005950138,4.016997991129756e-06,0.002284533360952043,0.001038027075651571,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839528639588765e-05,3.9898639947466563e-17,0.0003328167395383126,0.014348321189437074,-0.00012227155583439725,0.21848287832765093,0,0.0,0.05116552859418804,0.0,0.05116552859418804,-8.470329472543003e-21,4.9999999999999996e-05,1,1e-05
6,6.000000000000001e-05,NLR,1.0,0.01903719200345222,0.04682156800117809,0.00031678599771112204,2.150991349481046e-06,0.0022958850567111333,0.0010370764894680818,nan,nan,,0.0,nan,nan,nan,nan,0,,1.839660890744228e-05,3.729655473350135e-17,0.0003328251097595735,0.01434859651705045,-0.00012228136537578826,0.21848706694255024,0,0.0,0.061375838406578995,0.0,0.061375838406578995,5.082197683525802e-21,6e-05,1,1e-05
7,7.000000000000001e-05,NLR,1.0,0.018638528999872506,0.04981795299681835,0.0003485789929982275,2.4799956008791924e-06,0.0023065504499263124,0.0010355341201598348,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8397933500885584e-05,3.8055496254241206e-17,0.0003328334956368217,0.01434887229268944,-0.00012229118984814454,0.21849126237320618,0,0.0,0.07157224122634255,0.0,0.07157224122634255,-8.470329472543003e-21,7e-05,1,1e-05
8,8e-05,NLR,1.0,0.01846693200059235,0.04871802500565536,0.0006262560054892674,3.579989424906671e-06,0.002316488017619542,0.0010333822340302943,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8399259758358528e-05,3.859759734048396e-17,0.0003328418946645617,0.014349148434881442,-0.00012230102560706856,0.2184954633798673,0,0.0,0.08175174620150871,0.0,0.08175174620150871,-1.6940658945086007e-21,7.999999999999999e-05,1,1e-05
9,9e-05,NLR,1.0,0.01666678799665533,0.04745007900055498,0.0003194430028088391,2.8809881769120693e-06,0.002325656754662919,0.001030604866550384,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8400587247638426e-05,3.8163916471489756e-17,0.00033285030424925127,0.014349424859414261,-0.00012231086888904772,0.21849966868109716,0,0.0,0.09191121855505825,0.0,0.09191121855505825,1.1858461261560205e-20,9e-05,1,1e-05
10,0.0001,NLR,1.0,0.022376335997250862,0.06671022300724871,0.00037311099004000425,3.6860001273453236e-06,0.002334016513719187,0.0010271881123858,nan,nan,,0.0,nan,nan,nan,nan,0,,1.8401915522975802e-05,3.881443777498106e-17,0.0003328587217150623,0.014349701479528854,-0.0001223207157652759,0.21850387695671178,0,0.0,0.10204738110994338,0.0,0.10204738110994338,-1.5246593050577406e-20,9.999999999999999e-05,1,1e-05
